DV2,DV1,Productissues,BO,Advertisingassets,RDassets,Size,Profit,Liquidity,Leverage,Capitalintensity,Retainedearnings,Relativeperformance,Concentration,Salesgrowth,Salesturbulence,Industrycompetition,Industrygrowth,Industryturbulence,fyear
-14.766984,.36208394,-.089604594,1.7391117,-.24351603,.22668953,.23264919,.50507408,.0026795825,-.95362091,-.450495,.13602389,-.11569897,-.27534145,.029506868,-.13781102,-1.0770401,-.069686979,-.40015587,2011
-14.766984,.066923305,-.089604594,1.7391117,-.24351603,.26789147,.29574797,.40292212,.13500004,-.99638402,-.46440414,.16857949,-.11791199,-.31729609,.64092928,.11662894,-1.0770401,-.018669309,-.39571556,2012
-14.766984,-.20984769,-.089604594,1.7391117,-.24351603,.30933046,.34107479,.5023917,.40694728,-.99638402,-.40099707,.20594302,-.088972449,-.30841669,.76995528,-.16701934,-1.0770401,-.12300593,-.28026146,2013
-14.766984,.086778395,-.089604594,1.7391117,-.24351603,.22756569,.46611917,.64263713,.39467177,-.99638402,-.11121559,.23944473,.023037931,-.32108504,.83064562,-.66500497,-1.0770401,-.25231177,-.24605756,2014
-14.766984,-.343373,-.089604594,1.7391117,-.24351603,.17652155,.58142185,.6736871,.44176793,-.99638402,.11043617,.28054783,.0044112769,-.31965718,.73353577,-.50466299,-1.0596789,-.40391463,-.41843924,2015
-13.003687,-.36728269,-.089604594,1.7391117,-.24351603,.22838949,.59993124,.6736871,.81061941,-.99638402,.02837961,.34244952,.017824957,-.35690123,1.0276608,.15095572,-1.0488746,-.58167648,-.32517001,2016
-14.766984,.13637851,-.089604594,1.7391117,-.24351603,.19187719,.68797767,.6736871,.94025576,-.99638402,-.073624119,.3692199,-.077566512,-.38346699,.94062752,-.20900556,-1.0664008,-.48665819,-.31168595,2017
-14.766984,-.21886522,-.089604594,1.7391117,-.24351603,.23764737,.71597511,.6736871,.4304454,-.99638402,.19895282,.39077708,-.060479145,-.40454933,.67832905,-.28159204,-1.0384405,-.26196936,-.11304309,2018
-7.0746851,-.44822466,-.089604594,1.7391117,-.24351603,.31062895,.7171157,.6736871,.41407382,-.99638402,.27972287,.39077708,-.081239983,-.41035014,.26520088,-.3819032,-1.0367672,.13716151,.0074921562,2019
-4.9091825,-.1045533,-.089604594,1.7391117,-.24351603,.35026643,.74480587,.66544068,.32311541,-.95562935,.4585681,.39077708,-.12517478,-.40610224,-.35386863,-.41303968,-1.0163497,.49636695,-.45764595,2020
-3.1900523,.66068298,-.089604594,.073827513,-.0061989604,-.42929196,-.81146491,.32520002,.0084539922,-.35397944,-.36763102,.28760141,-.12156741,3.7547891,.67919356,-.54754597,-.61529016,1.2056317,.12304217,2007
-3.1613603,.42842874,-.089604594,-.049038634,.14894107,-.41313276,-.7377643,.30268967,.18295617,.16665356,-.38285339,.28572184,-.11522164,3.7547891,.41749895,-.58164102,-.63667905,.43270698,-.46603432,2008
-3.6416516,-.11201553,-.089604594,.22716144,.26597562,-.37330428,-.79895568,-.071003944,-.1504811,.066711023,-.31900084,.29539806,-.13964006,3.7547891,.21336654,-.67777342,-.59436518,.30574387,-.50723964,2009
-5.3788161,.76102436,-.089604594,-.3963719,.23559448,-.34925303,-.74704677,.17829518,-.30209869,.16143143,-.38199493,.29491088,-.12286982,3.7547891,-.24546871,-.3810041,-.57474071,.020364614,-.38003519,2010
-4.4736404,.56373107,-.089604594,.10628504,.14134653,-.34277669,-.6518659,.2837106,-.036374893,-.15133221,-.55843931,.28822812,-.12998924,3.7547891,-.3129504,-.41441363,-.56650949,-.021606598,-.39435554,2011
-2.7430775,.41415229,-.089604594,-.50083297,.1107187,-.33719552,-.56714869,.39328906,-.142612,-.68674904,-.56798011,.29299846,-.10133373,3.7547891,-.013901707,.038963862,-.71772277,.16439107,-.20002405,2012
-3.220607,1.2762674,-.089604594,.14732328,.15830548,-.32822442,-.5093596,.331871,.049814727,-.61444217,-.54925686,.29908907,-.087304793,3.7547891,.43323043,.12144648,-.72070175,.44249141,-.16466948,2013
-4.236042,1.0554463,-.089604594,-.60914916,.20035107,-.31848058,-.48059937,.062153161,.66335124,.26111135,-.62179279,.29055908,-.16126011,3.7547891,.65630698,-.51109868,-.61009884,.58123708,-.43579772,2014
-3.2559009,1.2425934,-.089604594,-.5968377,.22896576,-.30575505,-.51386738,.080855086,.3030903,-.20421934,-.60649985,.30295286,.094100066,3.7547891,-.029493624,.43760002,-.62036932,.15469345,-.0291564,2015
-2.9215448,1.2762674,-.089604594,-.34849381,.17376655,-.29467639,-.52986538,.1409824,.0087848874,-.62107778,-.55104733,.31564993,-.067294858,1.3699315,-.74104679,.087812722,-.5810734,-.28786734,-.17908594,2016
-2.8020341,1.2762674,.23021112,-.32610929,.090740353,-.31923375,-.41684252,.17375128,-.2977916,-.349998,-.7075398,.29507098,-.043181647,1.3813506,-.96582729,-.26856109,-.58064681,-.42767286,-.33183867,2017
-2.5209506,1.2762674,-.089604594,-.58925182,.13115259,-.32368585,-.36393335,.18549681,-.11444205,-.02461371,-.7648384,.29425448,.23078758,1.3420075,-.60979182,.069805101,-.19944279,-.20623143,-.18680456,2018
-2.7005112,1.2762674,-.089604594,-.46091393,.15031183,-.33415556,-.3015283,.10282125,-.028413394,.18829077,-.65057045,.2830573,.057124604,.88037044,.27879772,-.15511693,-.19728278,.34643975,-.28321302,2019
-2.9237037,1.2762674,-.089604594,.010528984,.15714815,-.33165476,-.2937552,.11133792,-.31989464,.11004998,-.5695194,.28607762,-.10658813,.86677784,.44437972,-.51519698,-.16248238,.44942588,-.43755439,2020
-3.3124237,.034142539,-.089604594,-.74768448,-.24351603,-.39444485,.42499131,.35633558,-.92391419,-.15467103,-.61534017,.28360367,.055655699,-.49269032,.52143759,-.32908714,2.1175635,.49735314,-.35778201,2007
-3.6623878,.0063740942,-.089604594,-.6703335,-.24351603,-.36986738,.48009425,.34734547,-.66463745,.42137903,-.65294421,.2779527,.38085708,-.49210697,.73966259,-.55178463,1.8444713,.63308132,-.45323697,2008
-3.7209775,.050238002,-.089604594,-.16494079,-.24351603,-.3567479,.51126236,.27692705,-.65480816,.11838663,-.68597019,.29549885,.26720539,-.49320754,.78859168,-.75653768,1.8850813,.66351348,-.54100037,2009
-3.8889673,-.12061909,-.089604594,.14894001,-.24351603,-.35698909,.59503043,.32119721,-.93627203,-.13211843,-.76276857,.29440406,.17460851,-.49317282,.21707633,.12142026,1.5662687,.30805123,-.16468072,2010
-4.6890702,-.056395281,-.089604594,.018487986,-.24351603,-.3461524,.65851462,.38041705,-.9921816,-.12443949,-.81298023,.2990801,.11061522,-.49354607,-.10759918,-.13100709,1.6578959,.10611457,-.27287883,2011
-4.3062882,-.089824915,-.089604594,.27130878,-.24351603,-.34790778,.75315124,.37822318,-1.2130376,-.23785661,-.8219617,.30031738,-.027707277,-.49411672,-.033977263,-.078954563,1.6005822,.15190479,-.2505675,2012
-4.1457829,-.13189963,-.089604594,.18139754,-.24351603,-.34498021,.81730115,.37617323,-1.068517,-.44993365,-.85567349,.3131001,-.10975669,-.49746248,.15335073,-.0730602,1.5390785,.26841617,-.248041,2013
-3.6062775,-.062163334,-.089604594,-.13086653,-.24351603,-.3331846,.8628512,.38856566,-.98995328,-.33889091,-.8474071,.31482437,-.13464786,-.49511933,.44475457,-.79420787,1.3563828,.44965902,-.55714697,2014
-4.5642319,-.034765501,-.089604594,.4966462,-.24351603,-.32199174,.88204259,.3790049,-1.043577,-.25895989,-.82939661,.32669014,-.13439387,-.49211261,.29821497,-.83007348,1.1249099,.35851657,-.57252008,2015
-3.96457,-.022060715,-.089604594,-.40942946,-.24351603,-.32049194,.91471809,.31222495,-.78604585,-.036503427,-.86749589,.32935596,-.13676307,-.49213368,.015820339,-.71648049,.49043316,.18287714,-.52383065,2016
-4.7268848,.0659872,-.089604594,-.46576393,-.24351603,-.32038423,.96287787,.37397408,-.97985667,-.36120725,-.88868904,.34319684,-.14290775,-.49043086,-.254058,-.56366241,.3892484,.015022386,-.45832813,2017
-5.6359658,.013169453,-.089604594,-.027151562,-.24351603,-.322725,1.0171888,.38364941,-1.1548212,-.18796214,-.88431692,.3439934,-.14343861,-.48942024,-.29712883,-.61849964,.54653805,-.011766151,-.48183304,2018
